Event.Clearance.Group	Event.Clearance.Date	Latitude	Longitude
TRESPASS	02/05/2017 10:31:55 AM	47.60502	-122.33193
CAR PROWL	01/29/2017 03:19:04 PM	47.660923	-122.4309
"PROPERTY - MISSING, FOUND"	11/08/2017 02:22:45 PM	47.660923	-122.4309
SUSPICIOUS CIRCUMSTANCES	09/27/2017 07:22:12 PM	47.660572	-122.43072
BEHAVIORAL HEALTH	12/20/2017 02:50:43 PM	47.661106	-122.425316
DISTURBANCES	12/20/2017 10:04:44 AM	47.661106	-122.425316
SUSPICIOUS CIRCUMSTANCES	11/03/2017 11:42:12 PM	47.65218	-122.41814
SUSPICIOUS CIRCUMSTANCES	03/19/2017 07:11:34 PM	47.660683	-122.41746
"THREATS, HARASSMENT"	03/01/2017 05:55:40 PM	47.653282	-122.417114
SUSPICIOUS CIRCUMSTANCES	05/13/2017 04:39:58 PM	47.653282	-122.417114
FALSE ALACAD	02/16/2017 11:59:29 AM	47.653282	-122.417114
FALSE ALACAD	11/18/2017 11:16:32 AM	47.653282	-122.417114
PROPERTY DAMAGE	06/08/2017 01:49:12 AM	47.65411	-122.41705
SUSPICIOUS CIRCUMSTANCES	03/11/2017 09:50:52 AM	47.65411	-122.41705
ANIMAL COMPLAINTS	04/22/2017 12:03:36 AM	47.64326	-122.41661
HAZARDS	10/18/2017 08:28:44 PM	47.65059	-122.41639
FALSE ALACAD	02/27/2017 04:24:27 PM	47.646553	-122.41638
DISTURBANCES	06/24/2017 03:31:29 AM	47.646553	-122.41638
FALSE ALACAD	05/13/2017 05:58:34 PM	47.646553	-122.41638
FALSE ALACAD	10/10/2017 04:31:14 PM	47.646553	-122.41638
SUSPICIOUS CIRCUMSTANCES	06/04/2017 04:06:01 AM	47.646553	-122.41638
HAZARDS	08/19/2017 09:52:31 AM	47.646553	-122.41638
FALSE ALACAD	08/23/2017 02:03:14 PM	47.643486	-122.41608
BURGLARY	12/20/2017 07:24:19 PM	47.643486	-122.41608
TRAFFIC RELATED CALLS	09/09/2017 08:43:31 PM	47.653435	-122.416
TRAFFIC RELATED CALLS	03/03/2017 09:01:31 PM	47.66069	-122.41599
HAZARDS	03/25/2017 02:39:28 PM	47.66069	-122.41599
