Event.Clearance.Group,Event.Clearance.Date,Latitude,Longitude
SHOPLIFTING,01/01/2017 01:01:42 AM,47.624577,-122.35475
"NUISANCE, MISCHIEF",01/01/2017 01:04:09 PM,47.66868,-122.38556
DISTURBANCES,01/01/2017 01:06:03 AM,47.619843,-122.32327
TRAFFIC RELATED CALLS,01/01/2017 01:07:58 PM,47.649586,-122.34975
TRAFFIC RELATED CALLS,01/01/2017 01:08:04 PM,47.704544,-122.30162
DISTURBANCES,01/01/2017 01:08:34 AM,47.625454,-122.35605
BEHAVIORAL HEALTH,01/01/2017 01:10:22 AM,47.673817,-122.37489
AUTO THEFTS,01/01/2017 01:10:56 AM,47.663666,-122.377655
BURGLARY,01/01/2017 01:11:35 AM,47.663666,-122.377655
FALSE ALACAD,01/01/2017 01:12:49 AM,47.61674,-122.35023
DISTURBANCES,01/01/2017 01:14:14 AM,47.60572,-122.32075
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 01:15:05 AM,47.618114,-122.32594
TRAFFIC RELATED CALLS,01/01/2017 01:19:08 AM,47.68231,-122.37678
FALSE ALACAD,01/01/2017 01:22:50 AM,47.614086,-122.325516
ASSAULTS,01/01/2017 01:24:11 PM,47.621986,-122.33363
"NUISANCE, MISCHIEF",01/01/2017 01:25:47 PM,47.66399,-122.31195
ASSAULTS,01/01/2017 01:28:21 AM,47.673706,-122.394325
DISTURBANCES,01/01/2017 01:29:11 AM,47.611248,-122.32765
ASSAULTS,01/01/2017 01:29:33 AM,47.653767,-122.34407
"PROPERTY - MISSING, FOUND",01/01/2017 01:29:48 PM,47.6997,-122.36873
DISTURBANCES,01/01/2017 01:31:35 AM,47.642612,-122.32589
DISTURBANCES,01/01/2017 01:32:20 AM,47.64045,-122.32006
DISTURBANCES,01/01/2017 01:33:36 AM,47.61758,-122.35165
SUSPICIOUS CIRCUMSTANCES,01/01/2017 01:33:55 AM,47.661385,-122.3344
DISTURBANCES,01/01/2017 01:34:03 AM,47.618073,-122.3485
FALSE ALACAD,01/01/2017 01:34:32 AM,47.66867,-122.37815
TRAFFIC RELATED CALLS,01/01/2017 01:35:09 AM,47.65344,-122.34596
FALSE ALACAD,01/01/2017 01:36:16 AM,47.636707,-122.3136
SUSPICIOUS CIRCUMSTANCES,01/01/2017 01:36:45 AM,47.663578,-122.33841
DISTURBANCES,01/01/2017 01:37:23 AM,47.613655,-122.345
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 01:38:46 AM,47.656338,-122.360825
BURGLARY,01/01/2017 01:39:08 PM,47.66619,-122.38441
DISTURBANCES,01/01/2017 01:40:12 AM,47.641815,-122.373665
"NUISANCE, MISCHIEF",01/01/2017 01:43:20 AM,47.614082,-122.31945
FALSE ALACAD,01/01/2017 01:43:36 AM,47.68679,-122.389244
TRAFFIC RELATED CALLS,01/01/2017 01:43:44 AM,47.639595,-122.35691
TRAFFIC RELATED CALLS,01/01/2017 01:43:54 AM,47.618534,-122.338486
FALSE ALACAD,01/01/2017 01:46:59 PM,47.66867,-122.37815
TRAFFIC RELATED CALLS,01/01/2017 01:49:39 AM,47.61411,-122.31147
HAZARDS,01/01/2017 01:50:14 AM,47.61289,-122.316734
DISTURBANCES,01/01/2017 01:50:38 AM,47.626278,-122.34756
DISTURBANCES,01/01/2017 01:51:02 PM,47.61452,-122.332954
SUSPICIOUS CIRCUMSTANCES,01/01/2017 01:52:01 AM,47.625977,-122.32131
FALSE ALACAD,01/01/2017 01:52:01 PM,47.64773,-122.39692
